_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
828,"900 BLOCK N LINCOLN AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,1,Allegheny West,1,22,42003562700,1,1,1-7,40.4512027400746,-80.016517610987
829,"CALIFORNIA AVE & MARSHALL AVE RAMP PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,2,,,,,,1,,,
830,"BLOCK PARK HILL DR PITTSBURGH, PA 15221",1,0,0,0,0,1,2016,7,2,,,,,,5,,,
831,"HEMLOCK ST & BOYLE ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,7,2,Central Northside,1,25,42003220600,1,1,1-6,40.4574644052417,-80.0063101055059
832,"2300 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,7,2,Marshall-Shadeland,1,27,42003270400,1,1,1-9,40.4624380761471,-80.0309998575387
833,"DURANGO WAY & FLEURY WAY PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,7,2,Homewood South,9,13,42003130400,2,5,3-17,40.4542672244463,-79.8892109402025
834,"400 BLOCK S 27TH. ST PITTSBURGH, PA 15203",2,0,0,2,0,0,2016,7,2,,,,,,3,,,
835,"ECKERT ST & SHADELAND AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,7,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4715565489565,-80.0308896753031
836,"1100 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,0,0,1,0,2016,7,3,Manchester,6,21,42003210700,1,1,1-8,40.4542119808614,-80.0212651754904
837,"54TH ST & HARRISON ST PITTSBURGH, PA 15201",3,0,1,1,0,1,2016,7,3,Upper Lawrenceville,7,10,42003101100,2,2,3-5,40.483404244728,-79.9518879278161
838,"FRANKLIN RD & GARVIN ST PITTSBURGH, PA 15214",1,0,0,1,0,0,2016,7,3,Perry North,1,26,42003260200,1,1,1-15,40.4924067557448,-80.02049593965
839,"1800 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,7,3,South Side Flats,3,17,42003170200,3,3,4-24,40.4284868409739,-79.9802691087542
840,"200 BLOCK N WHITFIELD ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,7,3,,,,,,5,,,
841,"1600 BLOCK OAKHURST ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,7,3,Carrick,4,29,42003290100,3,3,4-23,40.3997804881079,-79.9910543641254
842,"1200 BLOCK DECATUR ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,3,Manchester,6,21,42003210700,1,1,1-8,40.4561539354795,-80.0229336511515
843,"500 BLOCK CHAPEL HARBOR DR BLAWNOX, PA 15238",1,0,1,0,0,0,2016,7,4,,,,42003421100,,OSC,,40.4857155488117,-79.8873777804748
844,"100 BLOCK PENFORT ST PITTSBURGH, PA 15214",1,0,0,1,0,0,2016,7,4,,,,,,1,,,
845,"1200 BLOCK FILSON ST PITTSBURGH, PA 15212",1,1,0,0,0,0,2016,7,4,Central Northside,1,22,42003220600,1,1,1-21,40.4552519741524,-80.0112507516647
846,"1000 BLOCK PENNSYLVANIA AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,4,Manchester,6,25,42003210700,1,1,1-8,40.4552088649087,-80.0201501704255
847,"3400 BLOCK FLEMING AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,7,4,Brighton Heights,1,27,42003270300,1,1,1-14,40.4769999999468,-80.038226953709
848,"2500 BLOCK SAW MILL RUN BLVD PITTSBURGH, PA 15227",1,0,0,0,0,1,2016,7,4,Overbrook,4,32,42003320700,5,3,4-25,40.3809802758833,-79.9950381426213
849,"100 BLOCK BERRY ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,7,4,,,,,,6,,,
850,"1000 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,4,,,,,,1,,,
851,"3100 BLOCK JOSEPHINE ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,7,5,South Side Slopes,3,16,42003160800,3,3,4-24,40.4218536396445,-79.964959161459
852,"1300 BLOCK CHICAGO ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2016,7,5,Northview Heights,1,26,42003260900,1,1,1-13,40.4780460801605,-80.0018064639388
853,"7500 BLOCK THOMAS BLVD PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,7,5,Point Breeze North,9,14,42003140500,2,4,3-14,40.4500161031202,-79.8953407175097
854,"5300 BLOCK N AIKEN CT PITTSBURGH, PA 15224",1,0,0,1,0,0,2016,7,5,,,,,,5,,,
855,"500 BLOCK MELROSE AVE PITTSBURGH, PA 15214",1,0,0,1,0,0,2016,7,5,,,,,,1,,,
856,"IMOGENE RD & BROWNS HILL RD PITTSBURGH, PA 15217",1,0,1,0,0,0,2016,7,5,Squirrel Hill South,5,15,42003141400,3,4,2-12,40.4154565534706,-79.9249117426275
857,"5TH AVE & ROBINSON ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,7,5,West Oakland,6,4,42003040200,3,4,2-10,40.4377518612259,-79.9653610862219
858,"HAMLIN ST & BIDWELL ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,5,Manchester,6,21,42003210700,1,1,1-8,40.4535943146738,-80.0208446659539
859,"600 BLOCK MANTON WAY PITTSBURGH, PA 15210",1,0,0,0,0,1,2016,7,5,Allentown,3,18,42003180300,5,3,4-21,40.4212114331082,-79.9973568290085
860,"4800 BLOCK MONONGAHELA ST PITTSBURGH, PA 15207",4,0,1,1,1,1,2016,7,6,Hazelwood,5,15,42003562300,3,4,2-13,40.4112919641888,-79.9426332284025
861,"600 BLOCK EAST END AVE PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,7,6,Regent Square,9,14,42003141000,3,4,2-16,40.4395676311212,-79.8966784432152
862,"1900 BLOCK WESTMONT AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,7,6,Carrick,4,29,42003290100,3,3,4-23,40.3956590465257,-79.9885380991633
863,"CHARTIERS AVE & DUBOIS ST PITTSBURGH, PA 15204",1,0,0,0,1,0,2016,7,6,Crafton Heights,2,20,42003562500,5,6,1-16,40.4513806877515,-80.0504415889874
864,"300 BLOCK 6TH AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,7,6,Central Business District,6,2,42003020100,6,2,1-3,40.4416587139748,-79.99945506805
865,"700 BLOCK MAYTIDE ST PITTSBURGH, PA 15210",3,0,2,0,1,0,2016,7,6,Carrick,4,32,42003290400,3,3,4-23,40.3842772408587,-79.9913002138661
866,"1100 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,8,0,Manchester,6,21,42003210700,1,1,1-8,40.4542119808614,-80.0212651754904
867,"E CARSON ST & S 17TH ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,8,0,South Side Flats,3,17,42003170200,3,3,4-24,40.4288428977868,-79.9820508989135
868,"5300 BLOCK MOSSFIELD ST PITTSBURGH, PA 15224",1,0,0,1,0,0,2016,8,0,Garfield,9,9,42003101600,2,2,3-4,40.4726622550334,-79.9358114224948
869,"2300 BLOCK EAST HILLS DR PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,8,1,East Hills,9,13,42003130600,2,5,3-19,40.4566162367709,-79.871328586779
870,"1700 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,8,1,South Side Flats,3,17,42003170200,3,3,4-24,40.4285931755253,-79.9818723137217
871,"800 BLOCK WASHINGTON BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,8,1,,,,,,5,,,
872,"FIREMAN WAY & LEDUC WAY PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,8,1,Central Northside,6,25,42003250300,1,1,1-21,40.4577021268591,-80.0089710040293
873,"400 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2016,8,1,Northview Heights,1,26,42003260900,1,1,1-13,40.4798372205299,-80.0019047608856
874,"100 BLOCK RAHE ST PITTSBURGH, PA 15210",1,0,0,0,0,1,2016,8,1,Arlington,3,16,42003561600,3,3,4-8,40.4171349250202,-79.9798864773248
875,"TIPTON ST & 2ND AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,8,1,Hazelwood,5,15,42003562300,3,4,2-13,40.4078762537749,-79.9434826344693
876,"2900 BLOCK BEDFORD AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,8,1,Middle Hill,6,5,42003050100,3,2,2-5,40.4525626778715,-79.9673519529593
877,"7000 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,8,1,Homewood South,9,13,42003130300,2,5,3-17,40.4584818161404,-79.9010876084501
878,"2200 BLOCK SOMERS DR PITTSBURGH, PA 15219",1,0,0,1,0,0,2016,8,1,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4494256477235,-79.9755889365866
879,"1200 BLOCK WESTERN AVE PITTSBURGH, PA 15233",1,0,0,0,0,1,2016,8,1,Manchester,6,21,42003210700,1,1,1-8,40.4512177173984,-80.0219684615574
880,"500 BLOCK HOLMES ST PITTSBURGH, PA 15221",3,0,3,0,0,0,2016,8,1,,,,42003561200,,OSC,3-16,40.447510217654,-79.8854551930387
881,"EMERALD ST & CARNIVAL WAY PITTSBURGH, PA 15210",4,0,2,2,0,0,2016,8,2,Allentown,3,18,42003180300,5,3,4-5,40.4226278031514,-79.9916924301481
882,"100 BLOCK RHINE PL PITTSBURGH, PA 15212",1,0,0,0,1,0,2016,8,2,Spring Hill-City View,1,24,42003262000,1,1,1-24,40.4653596489546,-79.9920418451489
883,"800 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,8,2,Homewood South,9,13,42003130400,2,5,3-17,40.4546298092284,-79.8884409987312
884,"500 BLOCK SHADY AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,8,2,Shadyside,8,7,42003070600,2,4,3-11,40.4542445359442,-79.9219134355424
885,"1000 BLOCK UVILLA ST PITTSBURGH, PA 15220",1,0,0,1,0,0,2016,8,3,Elliott,2,20,42003562600,5,6,1-17,40.4455761741809,-80.0383022479248
886,"2100 BLOCK EGGERS ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,8,3,Troy Hill,1,24,42003240600,1,1,1-2,40.4683162150407,-79.9779945395772
887,"900 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",2,0,1,0,0,1,2016,8,3,,,,,,1,,,
888,"STAFFORD ST & NARCISSUS AVE PITTSBURGH, PA 15204",1,0,0,1,0,0,2016,8,3,Sheraden,2,20,42003562500,5,6,1-16,40.4559676918954,-80.0497200381025
889,"2500 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,8,3,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4509833047534,-79.9738397090324
890,"2600 BLOCK N CHARLES ST PITTSBURGH, PA 15214",1,0,0,1,0,0,2016,8,3,Perry South,6,26,42003261400,1,1,1-12,40.468152705421,-80.0153828470721
891,"1700 BLOCK GEBHART ST PITTSBURGH, PA 15212",1,0,0,1,0,0,2016,8,4,,,,,,1,,,
892,"WOODLAND AVE & STAYTON ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,8,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4696055869746,-80.0273379055879
893,"CEDARHURST ST & CURTIN AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,8,4,Beltzhoover,3,18,42003562400,5,3,4-21,40.4183522172209,-79.9988301386619
894,"HERRON AVE & MILWAUKEE ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,8,4,Middle Hill,6,5,42003050100,3,2,2-5,40.4522790199189,-79.9643806208366
895,"400 BLOCK N AIKEN AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,8,4,Garfield,9,11,42003111400,2,5,3-4,40.4677883800745,-79.9343437740178
896,"600 BLOCK ELMBANK ST PITTSBURGH, PA 15226",5,0,2,0,3,0,2016,8,4,Brookline,4,19,42003191700,5,6,4-26,40.3995923316675,-80.0160780394937
897,"300 BLOCK EAST OHIO ST PITTSBURGH, PA 15212",1,0,0,0,1,0,2016,8,4,,,,42003563900,,1,,40.4125315408834,-79.8427960425285
898,"1100 BLOCK PENNSYLVANIA AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,8,4,Manchester,6,21,42003210700,1,1,1-8,40.454983278857,-80.021334130214
899,"200 BLOCK GRASMERE ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,8,4,,,,,,6,,,
900,"700 BLOCK JOHNSTON AVE PITTSBURGH, PA 15207",2,0,2,0,0,0,2016,8,4,Glen Hazel,5,15,42003562300,3,4,2-13,40.405805081466,-79.933455881494
901,"300 BLOCK MOORE AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,8,4,Knoxville,3,30,42003300100,5,3,4-7,40.4113600917377,-79.9930100472604
902,"6700 BLOCK ROWAN ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,8,5,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4643251239604,-79.9031621291861
903,"5000 BLOCK ORINOCO ST PITTSBURGH, PA 15207",5,0,4,0,0,1,2016,8,5,Hazelwood,5,15,42003562300,3,4,2-13,40.4095968751904,-79.939028413154
904,"4500 BLOCK BROWNS HILL RD PITTSBURGH, PA",1,0,1,0,0,0,2016,8,5,Squirrel Hill South,5,15,42003141400,3,4,2-12,40.4176069600026,-79.925939048236
905,"500 BLOCK EAST OHIO ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,8,5,East Allegheny,1,23,42003563200,1,1,1-6,40.4535002610431,-80.0005722739975
906,"200 BLOCK HAMMOND ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,8,5,Sheraden,2,20,42003562500,5,6,1-16,40.4567796748155,-80.048518314331
907,"IDLEWILD ST & STERRETT ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2016,8,5,Homewood North,9,13,42003130200,2,5,3-17,40.4576891393422,-79.8938442564518
908,"1500 BLOCK STEUBEN ST PITTSBURGH, PA 15220",1,0,1,0,0,0,2016,8,5,Crafton Heights,2,28,42003281400,5,6,1-17,40.4437760454919,-80.0541186731461
909,"800 BLOCK RAILROAD ST MCKEES ROCKS , PA 15136",1,0,1,0,0,0,2016,8,5,,,,42003464400,,OSC,,40.4678655283791,-80.0621073833351
910,"6900 BLOCK CHAUCER ST PITTSBURGH, PA 15208",2,0,1,0,1,0,2016,8,5,Homewood West,9,12,42003120700,2,5,3-18,40.4640494271725,-79.9005818143447
911,"KELLY ST & N LANG AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,8,6,Homewood South,9,13,42003130300,2,5,3-17,40.456043374704,-79.8992592947789
912,"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,8,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
913,"2900 BLOCK STAFFORD ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,8,6,Sheraden,2,20,42003562500,5,6,1-16,40.4567405354118,-80.0504727005128
914,"700 BLOCK ROSSMORE AVE PITTSBURGH, PA 15226",1,0,1,0,0,0,2016,8,6,Brookline,4,19,42003191900,5,6,4-26,40.395897408719,-80.0201298769685
915,"2200 BLOCK ROSE ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,8,6,,,,,,2,,,
916,"800 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,8,6,Homewood South,9,13,42003130400,2,5,3-17,40.4546298092284,-79.8884409987312
917,"FRANKSTOWN AVE & WILKINSBURG AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,8,6,East Hills,9,13,42003130600,2,5,3-17,40.4581554265095,-79.8758820991415
918,"8600 BLOCK BRICELYN ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,8,6,East Hills,9,13,42003130600,2,5,3-17,40.4578647734886,-79.8743592274177
919,"HAZELWOOD AVE & SYLVAN AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,8,6,Hazelwood,5,15,42003562900,3,4,2-13,40.4119062902279,-79.94179322876
920,"200 BLOCK CEDARHURST ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,8,6,Beltzhoover,3,18,42003562400,5,3,4-16,40.4182850154187,-80.0039806936575
921,"S 17TH ST & MURIEL ST PITTSBURGH, PA 15203",2,0,2,0,0,0,2016,8,6,South Side Flats,3,17,42003170200,3,3,4-24,40.4301889259254,-79.9819157604079
922,"IDLEWILD ST & STERRETT ST PITTSBURGH, PA 15208",1,1,0,0,0,0,2016,8,6,Homewood North,9,13,42003130200,2,5,3-17,40.4576891393422,-79.8938442564518
923,"BUNKERHILL ST & GREYSTONE DR PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,8,6,Highland Park,7,11,42003980100,2,5,3-9,40.4788101245259,-79.9170246553606
924,"AUBURN ST & ASHLEY ST PITTSBURGH, PA 15206",3,0,3,0,0,0,2016,8,6,Larimer,9,12,42003120800,2,5,3-10,40.4628448029962,-79.915622786142
925,"200 BLOCK CHALFONT ST PITTSBURGH, PA 15210",1,0,0,0,0,1,2016,9,0,Beltzhoover,3,18,42003562400,5,3,4-16,40.4164011450309,-80.0037327727705
926,"E CARSON ST & SMITHFIELD ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,9,0,South Shore,2,19,42003980700,5,3,4-2,40.4321467142124,-80.0039907163094
927,"1000 BLOCK BIDWELL ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,9,0,Manchester,6,21,42003210700,1,1,1-8,40.4523353364973,-80.0204175001123
928,"BECKS RUN RD & BROWNSVILLE RD PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,9,0,Carrick,4,29,42003290400,3,3,4-12,40.3873323835433,-79.9838018056624
929,"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,9,0,Central Business District,6,2,42003020100,6,2,1-3,40.4442274414143,-79.9948937550356
930,"LINCOLN AVE & SAXON WAY PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,0,Homewood West,9,12,42003120300,2,5,3-15,40.4640376586506,-79.9014428064879
931,"1100 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,9,1,,,,,,6,,,
932,"2600 BLOCK LIBRARY RD PITTSBURGH, PA 15234",1,0,1,0,0,0,2016,9,1,Overbrook,4,32,42003320700,5,3,4-25,40.380836884642,-80.0000675504602
933,"2000 BLOCK LOWRIE ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,1,Troy Hill,1,24,42003240600,1,1,1-2,40.4676660216306,-79.9799384353438
934,"1500 BLOCK GEYER AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4731008172534,-80.0344857583992
935,"N NEGLEY AVE & RURAL ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,2,Garfield,9,11,42003111400,2,5,3-8,40.4656297282895,-79.9294046772682
936,"600 BLOCK N BRADDOCK AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,9,2,Homewood South,9,13,42003130400,2,5,3-17,40.4531968072223,-79.8910912648289
937,"1800 BLOCK NIGGEL ST PITTSBURGH, PA 15212",1,1,0,0,0,0,2016,9,2,Troy Hill,1,24,42003240600,1,1,1-2,40.467811687664,-79.9800611569912
938,"100 BLOCK RHINE PL PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,2,Spring Hill-City View,1,24,42003262000,1,1,1-24,40.4653596489546,-79.9920418451489
939,"6TH AVE & LIBERTY AVE PITTSBURGH, PA 15222",1,0,0,1,0,0,2016,9,2,Central Business District,6,2,42003020100,6,2,1-3,40.442341198819,-80.0002309446644
940,"3000 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,9,2,Arlington Heights,3,16,42003561600,3,3,4-22,40.4173449108972,-79.9656416888851
941,"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,3,0,0,0,2016,9,2,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
942,"BEAVER AVE & CHATEAU ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,9,2,Chateau,6,27,42003980900,1,1,1-8,40.4620696058784,-80.0321344460105
943,"1200 BLOCK PAULSON AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,2,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4679352282181,-79.9032400041143
944,"1200 BLOCK WESTERN AVE PITTSBURGH, PA 15233",1,1,0,0,0,0,2016,9,2,Manchester,6,21,42003210700,1,1,1-8,40.4512177173984,-80.0219684615574
945,"400 BLOCK N AIKEN AVE PITTSBURGH, PA 15206",2,0,1,0,0,1,2016,9,3,Garfield,9,11,42003111400,2,5,3-4,40.4677883800745,-79.9343437740178
946,"SOUTH COMMONS & FEDERAL ST S PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,3,Allegheny Center,1,22,42003562700,1,1,1-6,40.4502290939698,-80.0053901438711
947,"5500 BLOCK BLACK ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2016,9,3,Garfield,9,11,42003111400,2,5,3-4,40.4693956489147,-79.9298807872568
948,"1400 BLOCK ROCKLAND AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2016,9,3,Beechview,4,19,42003191600,5,6,4-28,40.4129931632341,-80.0203864894071
949,"100 BLOCK ROBINSON ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,9,3,West Oakland,6,4,42003040200,3,4,2-10,40.4387635619748,-79.9654480467596
950,"MT VERNON ST & BELMAR ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,9,3,Homewood West,9,12,42003120700,2,5,3-18,40.462916206799,-79.9011365069487
951,"APPLE AVE & STRANAHAN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,3,Lincoln-Lemington-Belmar,9,13,42003561900,2,5,3-18,40.4625751598545,-79.894484383568
952,"700 BLOCK PAULSON AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,3,,,,,,5,,,
953,"6600 BLOCK ROWAN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,3,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4651182799984,-79.9045384779845
954,"200 BLOCK WHITRIDGE ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,9,4,West Oakland,6,4,42003040200,3,4,2-10,40.440059279496,-79.9676182002667
955,"7300 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,0,1,0,0,2016,9,4,Homewood North,9,13,42003130200,2,5,3-17,40.4569083893921,-79.8941108231131
956,"3900 BLOCK PERRYSVILLE AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2016,9,4,Perry North,1,26,42003260200,1,1,1-15,40.4896216062129,-80.0181172871578
957,"6700 BLOCK HEDGE ST PITTSBURGH, PA 15206",3,0,0,2,0,1,2016,9,4,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.46639028674,-79.9008958936025
958,"VISTA ST & MADISON AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,4,East Allegheny,1,23,42003563200,1,1,1-5,40.4581781191455,-79.9981477310768
959,"1400 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,9,5,South Side Flats,3,17,42003170200,3,3,4-24,40.4286565603557,-79.984034293315
960,"1400 BLOCK N FRANKLIN ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,9,5,Manchester,6,21,42003210700,1,1,1-8,40.4558882030924,-80.0269705596701
961,"8500 BLOCK PERSHING ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,9,5,,,,,,5,,,
962,"2900 BLOCK BANKSVILLE RD PITTSBURGH, PA 15216",1,0,1,0,0,0,2016,9,5,Banksville,2,20,42003202300,5,6,4-9,40.4030563546581,-80.0415398313648
963,"BLAND ST & OAKHILL ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,5,,,,,,1,,,
964,"PENN AVE & STRATFORD AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,5,Garfield,9,11,42003080700,2,5,3-23,40.4638171267309,-79.9315970144997
965,"600 BLOCK NOBLESTOWN RD PITTSBURGH, PA 15220",1,0,1,0,0,0,2016,9,6,Elliott,2,20,42003562600,5,6,1-17,40.4372361250307,-80.0396659325438
966,"COLLIER ST & FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,9,6,Homewood South,9,13,42003130300,2,5,3-17,40.4564009200712,-79.8919053652988
967,"700 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,0,0,0,1,2016,9,6,Northview Heights,1,26,42003260900,1,1,1-13,40.4759997700279,-79.9982412589835
968,"6400 BLOCK PENN AVE PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,9,6,East Liberty,9,7,42003111500,2,5,3-13,40.4575134909614,-79.917435063919
969,"2500 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,9,6,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4509833047534,-79.9738397090324
970,"3400 BLOCK FLEMING AVE PITTSBURGH, PA 15212",1,0,0,1,0,0,2016,9,6,Brighton Heights,1,27,42003270300,1,1,1-14,40.4769999999468,-80.038226953709
971,"800 BLOCK WOODS RUN AVE PITTSBURGH, PA 15212",1,0,0,0,1,0,2016,9,6,,,,42003560600,,1,3-16,40.4421125513456,-79.8853051722223
972,"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",2,0,0,2,0,0,2016,9,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
973,"1900 BLOCK TOURS ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,9,6,Troy Hill,1,24,42003240600,1,1,1-2,40.4666438210349,-79.9823892192103
974,"7400 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,9,6,Homewood South,9,13,42003130300,2,5,3-17,40.4537297499137,-79.8935899828523
975,"BEDFORD AVE & DEVILLIERS ST PITTSBURGH, PA 15219",1,0,0,1,0,0,2016,9,6,Bedford Dwellings,6,5,42003050900,3,2,2-1,40.4465011164098,-79.9824321400423
976,"<100 BLOCK MITCHELL ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2016,9,6,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4766182589454,-80.0292941729126
977,"3000 BLOCK MIDDLETOWN RD PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,9,6,Sheraden,2,20,42003202200,5,6,1-16,40.4495884622898,-80.0643190176973
978,"N NEGLEY AVE & STANTON AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,9,6,East Liberty,9,11,42003111300,2,5,3-9,40.4715301124143,-79.9262808275083
979,"1000 BLOCK BROOKLINE BLVD PITTSBURGH, PA 15226",1,0,1,0,0,0,2016,9,6,Brookline,4,19,42003191900,5,6,4-26,40.3921195534612,-80.0177038484314
980,"100 BLOCK S 21ST ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,10,0,,,,42003484600,,3,,40.3979112359223,-79.9030140162091
981,"FONTELLA ST & PAGE ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,10,0,Manchester,6,21,42003210700,1,1,1-8,40.4519523974836,-80.0219908424382
