_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2778,"2500 BLOCK PERRYSVILLE AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,6,6,Perry South,6,26,42003261400,1,1,1-12,40.4697219736393,-80.0079441386222
2779,"CHATEAU ST & COLUMBUS AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2019,6,6,Manchester,6,21,42003980600,1,1,1-8,40.4573521410973,-80.0294557632393
2780,"5900 BLOCK NICHOLSON ST PITTSBURGH, PA 15217",2,0,1,1,0,0,2019,6,6,Squirrel Hill South,5,14,42003140800,3,4,2-21,40.4313325962639,-79.9203763723157
2806,"7300 BLOCK MONTICELLO ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,0,Homewood North,9,13,42003130200,2,5,3-17,40.4588375462801,-79.8932531294066
2807,"300 BLOCK PENFORT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,7,0,Northview Heights,1,26,42003260900,1,1,1-13,40.4747944211657,-80.0019679164087
2808,"7700 BLOCK PENN AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,7,0,Point Breeze,9,14,42003140600,3,4,3-14,40.4463971633631,-79.893871347431
2809,"7700 BLOCK BRASHEAR ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,7,0,Point Breeze,9,14,42003140600,3,4,3-14,40.4449338346917,-79.8946507620563
2810,"2600 BLOCK LIBRARY RD PITTSBURGH, PA 15234",1,0,1,0,0,0,2019,7,0,Overbrook,4,32,42003320700,5,3,4-25,40.380836884642,-80.0000675504602
2811,"100 BLOCK SAMPSONIA WAY PITTSBURGH, PA 15212",1,0,0,1,0,0,2019,7,0,Central Northside,6,25,42003250300,1,1,1-21,40.4576145411167,-80.0085068646803
2812,"100 BLOCK RHINE PL PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,7,0,Spring Hill-City View,1,24,42003262000,1,1,1-24,40.4653596489546,-79.9920418451489
