_id,ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
37,56,OPEN,CASTLE SHANNON LRT STA-CASTLE SHANNON BLVD-CASTLE SHANNON,CASTLE SHANNON BLVD. AT MT. LEBANON BLVD.,CASTLE SHANNON BOROUGH,PITTSBURGH,15234,ALLEGHENY,40.36829999999999785131876706145703792572021484375,-80.0295899999999988949639373458921909332275390625,TRANSIT ONLY,507,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
38,57,OPEN,MT LEBANON LRT STA-E SHADY DR AT ALFRED ST-MT LEBANON,"E. SHADY DR. AT ALFRED ST., OFF WASHINGTON RD.",MOUNT LEBANON,PITTSBURGH,15228,ALLEGHENY,40.3807699999999982765075401403009891510009765625,-80.0432200000000051431925385259091854095458984375,TRANSIT ONLY,24,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
39,58,OPEN,DORMONT JUNCTION LRT STA-BILTMORE AVE-DORMONT,BILTMORE AVE. OFF RT. 19 (W. LIBERTY AVE.),DORMONT BOROUGH,PITTSBURGH,15216,ALLEGHENY,40.3915999999999968395059113390743732452392578125,-80.040580000000005611582309938967227935791015625,TRANSIT ONLY,165,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
40,59,OPEN,POTOMAC LRT STA-BELROSE AVE OFF POTOMAC AVE-DORMONT,BELROSE AVE. OFF POTOMAC AVE.,DORMONT BOROUGH,PITTSBURGH,15216,ALLEGHENY,40.3968100000000021054802346043288707733154296875,-80.0367499999999978399500832892954349517822265625,TRANSIT ONLY,22,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
41,60,OPEN,WEST LIBRARY LRT STA-RT 88 NEAR CLIFTON RD-BETHEL PARK,"RT. 88 (LIBRARY RD.), NORTH OF CLIFTON RD.",MUNICIPALITY OF BETHEL PARK,BETHEL PARK,15102,ALLEGHENY,40.29386000000000223053575609810650348663330078125,-80.03007999999999810825102031230926513671875,TRANSIT ONLY,115,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
42,61,OPEN,CENTURY III MALL-RT 51-WEST MIFFLIN,RT. 51 (CLAIRTON BLVD.) NEAR LEBANON CHURCH RD.,WEST MIFFLIN BOROUGH,WEST MIFFLIN,15123,ALLEGHENY,40.33558000000000021145751816220581531524658203125,-79.943410000000000081854523159563541412353515625,NONE,160,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
43,63,OPEN,UNDER RT 51 BRIDGE BETWEEN N 3RD AVE & N 2ND AVE-ELIZABETH,N. 3RD AVE. UNDER ELIZABETH BRIDGE (RT. 51),ELIZABETH BOROUGH,ELIZABETH,15037,ALLEGHENY,40.273269999999996571204974316060543060302734375,-79.885750000000001591615728102624416351318359375,NONE,25,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
44,64,OPEN,LARGE-PETERS CREEK RD OFF RT 51-JEFFERSON HILLS BORO,PETERS CREEK RD. OFF RT. 51 (CLAIRTON BLVD.),JEFFERSON HILLS BOROUGH,LARGE,15025,ALLEGHENY,40.29356700000000301997715723700821399688720703125,-79.911382000000003245077095925807952880859375,NONE,440,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,MID MON VALLEY TRANSIT AUTHORITY
45,66,OPEN,CASTLE SHANNON MEMORIAL HALL-RT 88-CASTLE SHANNON,RT. 88 (LIBRARY RD.) AT GROVE RD.,CASTLE SHANNON BOROUGH,PITTSBURGH,15234,ALLEGHENY,40.36650999999999811507223057560622692108154296875,-80.0153399999999948022377793677151203155517578125,NONE,395,PRIVATE,YES,4,75,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
46,67,OPEN,ST ELIZABETH-RT 51 AT BRENTVIEW DR-BALDWIN BORO,RT. 51 (CLAIRTON BLVD.) AT BRENTVIEW DR.,BALDWIN BOROUGH,PITTSBURGH,15236,ALLEGHENY,40.34499000000000279442247119732201099395751953125,-79.9713100000000025602275854907929897308349609375,NONE,67,PRIVATE,YES,1.5,25,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
47,69,OPEN,ROSTRAVER AIRPORT-RT 51 AT AIRPORT RD-BELLE VERNON,RT. 51 (HAYDEN BLVD.) AT AIRPORT RD.,ROSTRAVER TOWNSHIP,BELLE VERNON,15012,WESTMORELAND,40.20423000000000257614374277181923389434814453125,-79.83710999999999557985574938356876373291015625,NONE,78,WESTMORELAND COUNTY AIRPORT AUTHORITY,NO,0,0,YES,FAYETTE AREA COORDINATED TRANSPORTATION,NONE
48,70,OPEN,I-70 EXIT 43-RT 201 AT PRICEDALE RD-BELLE VERNON,RT. 201 (ROSTRAVER RD.) AT PRICEDALE RD.,ROSTRAVER TOWNSHIP,BELLE VERNON,15012,WESTMORELAND,40.13877000000000094814822659827768802642822265625,-79.8428300000000064073901739902794361114501953125,NONE,60,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
49,71,OPEN,I-70 EXIT 20-E BEAU ST AT LAKEVIEW DR-SOUTH STRABANE TWP,RT. 136 (E. BEAU ST.) AT LAKEVIEW DR.,SOUTH STRABANE TOWNSHIP,WASHINGTON,15301,WASHINGTON,40.179810000000003356035449542105197906494140625,-80.22259999999999990905052982270717620849609375,NONE,217,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,FREEDOM TRANSIT,MOUNTAIN LINE TRANSIT
