Neighborhood,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Crawford-Roberts,2256,1.5674038869361200000000000000000000000000000000000000,11.087250515592100000000000000000000000000000000000,42.973839207721400000000000000000000000000000000,635,0.653543307087,0.096062992126,0.165354330709,0.0204724409449,0.0,0.0,0.0645669291339,0.0,0.0
Duquesne Heights,2425,4.07934089332860000000000000000000000000000000000000,14.0491465151773000000000000000000000000000000000000,22.55079697460250000000000000000000000000000000000,1223,0.55928045789,0.162714636141,0.140637775961,0.0,0.0,0.0,0.028618152085,0.017170891251,0.0915780866721
East Allegheny,2136,7.58596253141116000000000000000000000000000000000000,16.9403592001089000000000000000000000000000000,71.78118305130880000000000000000000000000000000,1195,0.442677824268,0.122175732218,0.229288702929,0.0,0.0,0.0092050209205,0.135564853556,0.00836820083682,0.052719665272
East Carnegie,570,0.77184700399450800000000000000000000000000000000000,5.55360846965904000000000000000000000000000000000000,12.8555751612478000000000000000000000000000000000000,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Hills,3169,1.6773469982144900000000000000000000000000000000000000,14.6247416643955000000000000000000000000000000000,27.03279420405820000000000000000000000000000000000,802,0.460099750623,0.105985037406,0.361596009975,0.0,0.0,0.0,0.0286783042394,0.0336658354115,0.00997506234414
East Liberty,5869,4.5916709205574600000000000000000000000000000000000,21.13386737947190000000000000000000000000000000000,36.37498688377270000000000000000000000000000000000,2377,0.478754732857,0.100967606226,0.23811527135,0.0,0.0,0.0,0.159023979806,0.00925536390408,0.0138830458561
Elliott,2381,4.0551141598636400000000000000000000000000000000000,19.04342232471540000000000000000000000000000000000,31.4247893147119000000000000000000000000000000000,949,0.434141201264,0.22655426765,0.276080084299,0.0,0.0,0.0,0.0326659641728,0.0,0.0305584826133
Esplen,301,1.4191367412664800000000000000000000000000000000000000,4.29524381968712000000000000000000000000000000000000,18.674973129074400000000000000000000000000000000000,68,0.397058823529,0.441176470588,0.161764705882,0.0,0.0,0.0,0.0,0.0,0.0
Fairywood,1002,1.3981600177149100000000000000000000000000000000000000,9.10795772041746000000000000000000000000000000,9.399337172773440000000000000000000000000000000000,116,0.422413793103,0.146551724138,0.0603448275862,0.0,0.112068965517,0.0,0.0,0.0,0.258620689655
Fineview,1285,0.64992611596534100000000000000000000000000000000000000,8.508008555103430000000000000000000000000000000,34.03203422041370000000000000000000000000000000000,547,0.482632541133,0.0511882998172,0.371115173675,0.0255941499086,0.0,0.0,0.0694698354662,0.0,0.0
Friendship,1785,0.56624416588433700000000000000000000000000000000000000,4.403303291521670000000000000000000000000000000000,41.540597089827000000000000000000000000000000000,936,0.357905982906,0.0683760683761,0.285256410256,0.0,0.0,0.0491452991453,0.200854700855,0.0,0.0384615384615
Garfield,3675,1.254758292759170000000000000000000000000000000000000,16.465765146457300000000000000000000000000000000,36.03012067058500000000000000000000000000000000000,1472,0.444972826087,0.0652173913043,0.272418478261,0.023097826087,0.0,0.0163043478261,0.135869565217,0.0,0.0421195652174
Glen Hazel,716,0.1467484924093370000000000000000000000000000000000000000,2.567486470051250000000000000000000000000000000,5.63045278520011000000000000000000000000000000000000,89,0.640449438202,0.0,0.359550561798,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield,7294,3.878994849819890000000000000000000000000000000000000,27.81485191433800000000000000000000000000000000000,35.98299083355490000000000000000000000000000000000,4363,0.578730231492,0.141645656658,0.146229658492,0.00183360073344,0.0,0.0309420123768,0.0685308274123,0.00435480174192,0.0277332110933
Hays,362,6.44634569613125000000000000000000000000000000000000,12.063039186682800000000000000000000000000000000,6.89316524953301000000000000000000000000000000000000,166,0.819277108434,0.180722891566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hazelwood,4317,3.6129319669922300000000000000000000000000000000000,29.8781865537852000000000000000000000000000000000,18.874407172321600000000000000000000000000000000000,1729,0.605552342394,0.0908039329092,0.258530942741,0.0,0.0,0.00404858299595,0.032967032967,0.0,0.0080971659919
Highland Park,6395,5.7266816809958900000000000000000000000000000000000,27.153897400304200000000000000000000000000000000000,23.348149097424000000000000000000000000000000000,3699,0.535550148689,0.121113814544,0.240335225737,0.0,0.0,0.0186536901865,0.0508245471749,0.0100027034334,0.0235198702352
Homewood North,3280,1.7614216316581100000000000000000000000000000000000000,16.790048873325300000000000000000000000000000000000,38.68674855604920000000000000000000000000000000000,1174,0.476149914821,0.0400340715503,0.357751277683,0.0,0.0,0.0,0.0775127768313,0.0,0.0485519591141
Homewood South,2344,1.75846048815536000000000000000000000000000000000000,16.6908738668011000000000000000000000000000000,41.936869012063000000000000000000000000000000000,598,0.454849498328,0.125418060201,0.341137123746,0.0,0.0,0.0,0.0434782608696,0.0,0.0351170568562
Homewood West,818,1.581140601203710000000000000000000000000000000000000,6.42769268801701000000000000000000000000000000000000,32.29996325636690000000000000000000000000000000000,285,0.284210526316,0.277192982456,0.305263157895,0.0,0.0,0.0,0.108771929825,0.0,0.0245614035088
Knoxville,3747,1.2037740007590500000000000000000000000000000000000000,14.4171272575287000000000000000000000000000000000000,47.73883197857200000000000000000000000000000000000,1493,0.484259879437,0.123911587408,0.304085733423,0.0,0.0,0.0,0.0750167448091,0.012726054923,0.0
Larimer,1728,2.930543949634280000000000000000000000000000000000000,15.7884141892458000000000000000000000000000000000000,35.47958244774350000000000000000000000000000000000,462,0.515151515152,0.0606060606061,0.309523809524,0.0,0.0,0.0,0.0930735930736,0.0,0.021645021645
Lincoln Place,3227,2.950026206439960000000000000000000000000000000000000,21.96299757954170000000000000000000000000000000000,22.3201194914041000000000000000000000000000000000,1881,0.839447102605,0.0499734183945,0.0893141945774,0.0,0.0,0.0,0.0026581605529,0.00956937799043,0.00903774587985
Lincoln-Lemington-Belmar,4883,6.31354144292900000000000000000000000000000000000000,30.37835522404810000000000000000000000000000000000,16.765096702013300000000000000000000000000000000000,1607,0.514001244555,0.103920348475,0.279402613566,0.0,0.0,0.0,0.0429371499689,0.0,0.059738643435
Lower Lawrenceville,2341,2.146275459290340000000000000000000000000000000000,12.73468735640460000000000000000000000000000000000,29.615551991638600000000000000000000000000000000000,1182,0.445008460237,0.108291032149,0.181895093063,0.0,0.0118443316413,0.075296108291,0.137055837563,0.0,0.0406091370558
Manchester,2130,2.15655176015017000000000000000000000000000000000000,11.1360512078976000000000000000000000000000000000000,39.9141620354754000000000000000000000000000000000,749,0.35914552737,0.0106809078772,0.41655540721,0.0,0.0,0.0,0.116154873164,0.0480640854473,0.0493991989319
Marshall-Shadeland,6043,7.0608419036598900000000000000000000000000000000000,24.54376021979470000000000000000000000000000000000,19.572376570809200000000000000000000000000000000000,2006,0.489032901296,0.0927218344965,0.34297108674,0.0,0.0,0.0,0.0533399800598,0.00548354935194,0.0164506480558
Middle Hill,1707,0.943705297176932000000000000000000000000000000000000,13.2567073785863000000000000000000000000000000000000,43.464614356020800000000000000000000000000000000,606,0.407590759076,0.0676567656766,0.483498349835,0.0,0.0,0.0,0.0412541254125,0.0,0.0
Morningside,3346,1.9411159262990500000000000000000000000000000000000000,15.238188416556700000000000000000000000000000000000,39.89054559308030000000000000000000000000000000000,1921,0.595523165018,0.160333159813,0.150963040083,0.0,0.0,0.0124934929724,0.0530973451327,0.0124934929724,0.0150963040083
Mount Washington,8799,4.62877426492943000000000000000000000000000000000000,34.2500055654249000000000000000000000000000000000,30.043864531074500000000000000000000000000000000000,5247,0.649704593101,0.0859538784067,0.165427863541,0.0,0.00266819134744,0.00495521250238,0.0594625500286,0.0020964360587,0.0297312750143
Mt. Oliver,509,0.74494429017537900000000000000000000000000000000000000,3.532531213590340000000000000000000000000000000000000,35.32531213590340000000000000000000000000000000,196,0.520408163265,0.112244897959,0.234693877551,0.0,0.0,0.0,0.132653061224,0.0,0.0
New Homestead,990,0.62348484918030300000000000000000000000000000000000000,12.105274173152100000000000000000000000000000000000,15.2459372457835000000000000000000000000000000000000,737,0.888738127544,0.0366350067843,0.0189959294437,0.0,0.0,0.0,0.0176390773406,0.0,0.0379918588874
North Oakland,10551,2.449660800467010000000000000000000000000000000000000,15.0005857477657000000000000000000000000000000000000,30.061294083698800000000000000000000000000000000000,3436,0.205762514552,0.0724679860303,0.115250291036,0.00378346915017,0.0,0.029394644936,0.525611175786,0.00378346915017,0.0439464493597
North Shore,303,6.81337092907314000000000000000000000000000000000000,13.602326366389900000000000000000000000000000000000,44.89216622570920000000000000000000000000000000000,161,0.72049689441,0.0,0.0,0.0,0.0,0.0,0.27950310559,0.0,0.0
Northview Heights,1214,3.157817951503050000000000000000000000000000000000000,5.7899913186014000000000000000000000000000000000000,18.498374819812800000000000000000000000000000000000,296,0.0844594594595,0.0,0.773648648649,0.0,0.0,0.0,0.0574324324324,0.0,0.0844594594595
Oakwood,1027,1.76845184892822000000000000000000000000000000000000,5.716051012328560000000000000000000000000000000000,22.682742112414900000000000000000000000000000000,431,0.784222737819,0.0255220417633,0.122969837587,0.0,0.0,0.0,0.046403712297,0.0,0.0208816705336
Overbrook,3644,2.661942819411380000000000000000000000000000000000000,20.923956796134600000000000000000000000000000000000,24.9391618547492000000000000000000000000000000000,2015,0.680893300248,0.137965260546,0.154838709677,0.0,0.0,0.0,0.0263027295285,0.0,0.0
Perry North,4050,5.56194589324824000000000000000000000000000000000000,27.108811665485300000000000000000000000000000000000,22.36700632465780000000000000000000000000000000000,2056,0.673638132296,0.141050583658,0.131322957198,0.0,0.0,0.0,0.0369649805447,0.0,0.0170233463035
Perry South,4145,3.453816891303300000000000000000000000000000000000000,23.121850766882400000000000000000000000000000000000,25.5490063722458000000000000000000000000000000,1485,0.526599326599,0.102356902357,0.327946127946,0.0,0.0,0.0,0.0363636363636,0.0,0.00673400673401
