DEC_LAT,DEC_LONG
40.1754,-79.5348
40.1342,-79.3581
40.2101,-79.7356
40.185,-79.5428
40.3413,-79.5011
40.3303,-79.6426
40.2305,-79.5866
40.5233,-79.4716
40.4195,-79.5079
40.3984,-79.5031
40.1865,-79.7286
40.291,-79.6697
40.2887,-79.6116
40.309,-79.6762
40.3199,-79.6796
40.3117,-79.592
40.2866,-79.6694
40.3323,-79.6895
40.5606,-79.5802
40.5251,-79.5916
40.5928,-79.7489
40.553,-79.6026
40.3303,-79.7073
40.1603,-79.8773
40.1374,-79.8747
40.1391,-79.8258
40.3098,-79.6644
40.308,-79.4028
40.3067,-79.4102
40.1722,-79.7224
40.3672,-79.6186
40.5838,-79.7577
40.3488,-79.575
40.4186,-79.6268
40.3392,-79.6923
40.2682,-79.2938
,
40.2589,-79.2643
40.4257,-79.6737
40.2675,-79.4634
40.2806,-79.3659
40.1361,-79.5479
40.3014,-79.3371
40.1057,-79.6304
40.286,-79.5884
40.3274,-79.6348
40.2791,-79.5924
40.419,-79.5714
40.3338,-79.7433
40.2988,-79.1555
40.2381,-79.5951
40.2272,-79.5912
40.2598,-79.6431
40.3144,-79.6737
40.5772,-79.5938
40.5205,-79.4742
40.5914,-79.5718
40.384,-79.6207
40.2099,-79.1916
40.1349,-79.8428
40.3471,-79.5298
40.5747,-79.7559
40.5934,-79.7494
40.3296,-79.7343
40.5578,-79.7613
40.421,-79.6426
40.2613,-79.3336
40.2838,-79.5399
40.2338,-79.4131
40.1115,-79.636
40.3915,-79.2847
40.3235,-79.3695
40.2955,-79.5232
40.1459,-79.5739
40.4021,-79.5171
40.5779,-79.5694
40.4048,-79.423
40.1052,-79.2297
40.3081,-79.3934
40.1781,-79.6129
40.3502,-79.3169
40.1773,-79.6276
40.3698,-79.5218
40.1125,-79.3578
40.2489,-79.5738
40.3335,-79.6709
40.418,-79.7114
40.572,-79.5669
40.4604,-79.6385
40.4177,-79.6484
40.2678,-79.7451
40.2928,-79.3504
40.3069,-79.5458
40.3314,-79.7404
40.5351,-79.635
40.42,-79.6545
40.3403,-79.755
40.3296,-79.7343
40.312,-79.5384
40.5895,-79.7561
40.4419,-79.7027
40.2969,-79.6696
40.3014,-79.4926
40.279,-79.3687
40.4506,-79.4208
40.2114,-79.6641
40.5232,-79.6987
40.4065,-79.7287
40.3423,-79.725
40.3293,-79.671
40.3068,-79.5747
40.1812,-79.7111
40.4369,-79.599
40.3887,-79.7233
40.5503,-79.7442
40.3285,-79.7288
40.1961,-79.2678
40.3397,-79.3154
40.1052,-79.2297
40.3003,-79.7244
40.5182,-79.5192
40.5178,-79.5147
40.4885,-79.4777
40.4697,-79.5904
40.427,-79.7007
40.1961,-79.2678
40.285,-79.433
40.3621,-79.5243
40.1671,-79.7362
40.5909,-79.5726
40.3112,-79.3789
40.3468,-79.6284
40.569,-79.7281
40.3371,-79.7463
40.1802,-79.5228
40.3185,-79.5541
40.3082,-79.5971
40.2799,-79.6152
40.2934,-79.6485
40.2902,-79.5314
40.3879,-79.4213
40.1218,-79.5875
40.1238,-79.5556
40.3462,-79.3254
40.2874,-79.5959
40.3466,-79.5491
40.3826,-79.5723
40.1277,-79.4068
40.381,-79.7454
40.6017,-79.5678
40.372,-79.7571
40.6164,-79.6316
40.3813,-79.0537
40.444,-79.6468
40.1439,-79.8728
40.1605,-79.8787
40.2972,-79.4931
40.2953,-79.3393
40.1301,-79.5531
40.5668,-79.5688
40.3921,-79.5731
